-81.0173339844,29.1512775421
-81.0173247000,29.1512951000
-81.0171992000,29.1513389000
-81.0170432000,29.1513881000
-81.0170233000,29.1514141000
-81.0170984000,29.1514314000
-81.0171794000,29.1514169000
-81.0172582000,29.1513943000
-81.0173402000,29.1515534000
-81.0172739000,29.1514289000
-81.0172473000,29.1514588000
-81.0172561000,29.1514984000
-81.0172627000,29.1515293000
-81.0172494000,29.1515613000
-81.0171813965,29.1515426636
-81.0171432495,29.1515426636
-81.0171051025,29.1515617371
-81.0170769000,29.1515810000
-81.0170700000,29.1515852000
-81.0170531000,29.1515971000
-81.0170609000,29.1516083000
-81.0170662000,29.1516104000
-81.0170874000,29.1515930000
-81.0171379000,29.1514636000
-81.0171496000,29.1514739000
-81.0171539000,29.1514750000
-81.0171584000,29.1514774000
-81.0171632000,29.1514810000
-81.0174822000,29.1513556000
0.0000000000,0.0000000000
